nomComplet,lienWikidata,distinction,date,annee
Denys Arcand,http://www.wikidata.org/entity/Q1377772,Prix du cinéma européen du meilleur film non-européen,2003-01-01,2003
Denys Arcand,http://www.wikidata.org/entity/Q992455,prix Molson,1991-01-01,1991
Denys Arcand,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,2004-01-01,2004
Denys Arcand,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,1990-01-01,1990
Denys Arcand,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1989-01-01,1989
Ginette Noiseux,http://www.wikidata.org/entity/Q15278101,Membre de l’Ordre du Canada,2020-12-30,2020
Marcel Carrière,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2011-01-01,2011
Hubert Aquin,http://www.wikidata.org/entity/Q3404375,prix Athanase-David,1972-01-01,1972
Hubert Aquin,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,1968-01-01,1968
Fabien Cloutier,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,2015-01-01,2015
Gérard Poirier,http://www.wikidata.org/entity/Q99700,Ordre du Canada,1996-01-01,1996
Gérard Poirier,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2007-01-01,2007
Gérard Poirier,http://www.wikidata.org/entity/Q21672149,chevalier de l'ordre de la Pléiade,2006-01-01,2006
Gérard Poirier,http://www.wikidata.org/entity/Q3404763,Prix Gémeaux du meilleur rôle de soutien masculin,2002-01-01,2002
Gérard Poirier,http://www.wikidata.org/entity/Q3404759,Prix Gémeaux du meilleur premier rôle masculin,1988-01-01,1988
Michel Legrand,http://www.wikidata.org/entity/Q22344608,Oscar de la meilleure chanson originale,1984-01-01,1984
Richard Anconina,http://www.wikidata.org/entity/Q13452531,commandeur des Arts et des Lettres,2010-01-01,2010
Catherine Deneuve,http://www.wikidata.org/entity/Q24241,César de la meilleure actrice,1993-01-01,1993
Catherine Deneuve,http://www.wikidata.org/entity/Q268670,Praemium Imperiale,2018-01-01,2018
Catherine Deneuve,http://www.wikidata.org/entity/Q24241,César de la meilleure actrice,1981-01-01,1981
Catherine Deneuve,http://www.wikidata.org/entity/Q3404521,David di Donatello de la meilleure actrice étrangère,1981-01-01,1981
Catherine Deneuve,http://www.wikidata.org/entity/Q2089918,coupe Volpi pour la meilleure interprétation féminine,1998-01-01,1998
Catherine Deneuve,http://www.wikidata.org/entity/Q514445,Lifetime Achievement Award des Prix du cinéma européen,2013-01-01,2013
Catherine Deneuve,http://www.wikidata.org/entity/Q708135,Ours d'argent,2002-01-01,2002
Catherine Deneuve,http://www.wikidata.org/entity/Q287062,Ours d'or d'honneur,1998-01-01,1998
Catherine Deneuve,http://www.wikidata.org/entity/Q1377738,prix du cinéma européen de la meilleure actrice,2002-01-01,2002
Catherine Deneuve,http://www.wikidata.org/entity/Q749235,Festival international du film de Moscou,1997-01-01,1997
Catherine Deneuve,http://www.wikidata.org/entity/Q908858,prix Donostia,1994-01-01,1994
André Gagnon,http://www.wikidata.org/entity/Q6314081,prix Juno de l'album instrumental de l'année,1995-01-01,1995
André Gagnon,http://www.wikidata.org/entity/Q16958655,prix Juno de l'album classique de l'année : performance vocale ou chorale,2014-01-01,2014
André Gagnon,http://www.wikidata.org/entity/Q6314042,prix Juno de l'album de l'année,1977-01-01,1977
André Gagnon,http://www.wikidata.org/entity/Q6314081,prix Juno de l'album instrumental de l'année,1978-01-01,1978
André Gagnon,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2018-01-01,2018
Albert Millaire,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2006-01-01,2006
André Melançon,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2016-01-01,2016
André Melançon,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2012-01-01,2012
André Melançon,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2013-01-01,2013
Christian LeBlanc,http://www.wikidata.org/entity/Q3019364,Daytime Emmy Award du meilleur acteur dans une série télévisée dramatique,2007-01-01,2007
Christian LeBlanc,http://www.wikidata.org/entity/Q3019364,Daytime Emmy Award du meilleur acteur dans une série télévisée dramatique,2009-01-01,2009
Christian LeBlanc,http://www.wikidata.org/entity/Q3019364,Daytime Emmy Award du meilleur acteur dans une série télévisée dramatique,2005-01-01,2005
Janette Bertrand,http://www.wikidata.org/entity/Q15278107,Compagnon de l’Ordre du Canada,2020-01-01,2020
Janette Bertrand,http://www.wikidata.org/entity/Q3404685,prix Guy-Mauffette,2011-01-01,2011
Janette Bertrand,http://www.wikidata.org/entity/Q51527076,docteur honoris causa de l'Université Laval,2006-01-01,2006
Janette Bertrand,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2000-01-01,2000
Co Hoedeman,http://www.wikidata.org/entity/Q917808,Oscar du meilleur court métrage d'animation,1977-01-01,1977
Pierre Hébert,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2004-01-01,2004
Yvon Rivard,http://www.wikidata.org/entity/Q3404620,Prix Gabrielle-Roy,1993-01-01,1993
Yvon Rivard,http://www.wikidata.org/entity/Q3404870,Prix Jean-Éthier-Blais,2007-01-01,2007
Yvon Rivard,http://www.wikidata.org/entity/Q3114802,Grand Prix du livre de Montréal,1996-01-01,1996
Yvon Rivard,http://www.wikidata.org/entity/Q3114802,Grand Prix du livre de Montréal,2005-01-01,2005
Yvon Rivard,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,1986-01-01,1986
François Barbeau,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,1996-01-01,1996
Geneviève Bujold,http://www.wikidata.org/entity/Q463085,Golden Globe de la meilleure actrice dans un film dramatique,1969-01-01,1969
Geneviève Bujold,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2018-01-01,2018
Carole Fréchette,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,2014-01-01,2014
Jean Beaudry,http://www.wikidata.org/entity/Q3404684,Prix Guy-L'Écuyer,1989-01-01,1989
François Bouvier,http://www.wikidata.org/entity/Q3404684,Prix Guy-L'Écuyer,1989-01-01,1989
Monique Leyrac,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,1998-01-01,1998
Monique Leyrac,http://www.wikidata.org/entity/Q3404522,prix Denise-Pelletier,2013-01-01,2013
Monique Leyrac,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,1997-01-01,1997
Michel Rivard,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2005-01-01,2005
Donald Sutherland,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2000-01-01,2000
